1439025463	0.000	unknown
1439025500	73.000	charging
1439025823	74.000	charging
1439026161	75.000	charging
1439026522	76.000	charging
1439027347	0.000	unknown
1439027376	29.000	discharging
1439027436	28.000	discharging
1439027468	27.000	discharging
1439027556	24.000	discharging
1439027616	23.000	discharging
1439027676	22.000	discharging
1439027708	21.000	discharging
1439027797	19.000	discharging
1439027857	18.000	discharging
1439027917	17.000	discharging
1439027948	16.000	discharging
1439028037	14.000	discharging
1439028098	13.000	discharging
1439028158	12.000	discharging
1439028188	11.000	discharging
1439028218	10.000	discharging
1439028278	9.000	discharging
1439028338	8.000	discharging
1439028368	7.000	discharging
1439028428	6.000	discharging
1439028458	5.000	discharging
1439028518	4.000	discharging
1439068364	0.000	unknown
1439068377	1.000	charging
1439068437	2.000	charging
1439068678	3.000	charging
1439068918	4.000	charging
1439235610	0.000	unknown
1439235637	89.000	discharging
1439235697	88.000	discharging
1439235971	87.000	discharging
1439236238	86.000	discharging
1439236539	85.000	discharging
1439236779	83.000	discharging
1439237020	82.000	discharging
1439237140	81.000	discharging
1439237381	80.000	discharging
1439237622	78.000	discharging
1439237862	77.000	discharging
1439238103	76.000	discharging
1439238283	75.000	discharging
1439238524	74.000	discharging
1439238825	73.000	discharging
1439239091	72.000	discharging
1439239306	71.000	discharging
1439239547	70.000	discharging
1439240171	71.000	charging
1439240538	72.000	charging
1439276431	0.000	unknown
1439277405	0.000	unknown
1439288494	0.000	unknown
1439288521	74.000	discharging
1439288761	73.000	discharging
1439289062	72.000	discharging
1439289423	71.000	discharging
1439289686	70.000	discharging
1439290167	68.000	discharging
1439290709	67.000	discharging
1439291134	66.000	discharging
1439291551	65.000	discharging
1439292032	64.000	discharging
1439292573	63.000	discharging
1439293115	62.000	discharging
1439293655	61.000	discharging
1439294135	60.000	discharging
1439294619	59.000	discharging
1439295215	57.000	discharging
1439295695	56.000	discharging
1439296183	55.000	discharging
1439296725	54.000	discharging
1439297255	53.000	discharging
1439297747	52.000	discharging
1439298215	51.000	discharging
1439298575	50.000	discharging
1439299131	49.000	discharging
1439299612	48.000	discharging
1439300134	46.000	discharging
1439300515	45.000	discharging
1439300936	44.000	discharging
1439301477	43.000	discharging
1439302054	42.000	discharging
1439302620	41.000	discharging
1439303134	40.000	discharging
1439303703	39.000	discharging
1439304245	38.000	discharging
1439304786	37.000	discharging
1439305327	36.000	discharging
1439305628	35.000	discharging
1439305989	34.000	discharging
1439306470	33.000	discharging
1439306952	32.000	discharging
1439307433	31.000	discharging
1439307934	30.000	discharging
1439308414	29.000	discharging
1439308696	28.000	discharging
1439309238	27.000	discharging
1439309539	25.000	discharging
1439309839	24.000	discharging
1439310261	23.000	discharging
1439310682	22.000	discharging
1439311043	21.000	discharging
1439311404	20.000	discharging
1439311825	19.000	discharging
1439312306	18.000	discharging
1439312847	17.000	discharging
1439313329	16.000	discharging
1439313870	15.000	discharging
1439314412	14.000	discharging
1439314773	13.000	discharging
1439315073	12.000	discharging
1439315374	11.000	discharging
1439315675	10.000	discharging
1439315945	9.000	discharging
1439316215	8.000	discharging
1439316515	7.000	discharging
1439316785	6.000	discharging
1439317085	5.000	discharging
1439317355	4.000	discharging
1439317655	3.000	discharging
1439317925	2.000	discharging
1439378979	0.000	unknown
1439379003	98.000	discharging
1439379243	97.000	discharging
1439379544	96.000	discharging
1439379699	95.000	discharging
1439379905	94.000	discharging
1439380059	93.000	discharging
1439380206	92.000	discharging
1439380419	91.000	discharging
1439380567	90.000	discharging
1439380747	89.000	discharging
1439380899	88.000	discharging
1439381108	87.000	discharging
1439381289	86.000	discharging
1439381649	85.000	discharging
1439381890	83.000	discharging
1439382071	82.000	discharging
1439382251	81.000	discharging
1439382432	80.000	discharging
1439382732	78.000	discharging
1439383093	77.000	discharging
1439383635	76.000	discharging
1439384116	75.000	discharging
1439384297	74.000	discharging
1439384499	73.000	discharging
1439384739	72.000	discharging
1439385139	71.000	discharging
1439385560	70.000	discharging
1439386041	71.000	charging
1439386282	72.000	charging
1439386522	73.000	charging
1439386763	74.000	charging
1439387019	75.000	charging
1439387305	76.000	charging
1439387605	77.000	charging
1439387859	78.000	charging
1439388099	80.000	charging
1439388327	81.000	charging
1439388568	82.000	charging
1439388748	83.000	charging
1439553837	0.000	unknown
1439553860	90.000	discharging
1439554040	89.000	discharging
1439554317	88.000	discharging
1439554557	87.000	discharging
1439554882	86.000	discharging
1439555123	85.000	discharging
1439556968	0.000	unknown
1439557008	77.000	discharging
1439557248	76.000	discharging
1439557489	75.000	discharging
1439559008	74.000	discharging
1439560437	73.000	discharging
1439561760	72.000	discharging
1439562422	71.000	discharging
1439565901	0.000	unknown
1439565933	24.000	discharging
1439565993	23.000	discharging
1439566022	22.000	discharging
1439566113	20.000	discharging
1439566173	19.000	discharging
1439566233	18.000	discharging
1439566262	17.000	discharging
1439566354	15.000	discharging
1439566414	14.000	discharging
1439566474	13.000	discharging
1439566502	12.000	discharging
1439566645	0.000	unknown
1439566663	9.000	discharging
1439566705	8.000	discharging
1439566734	7.000	discharging
1439620618	0.000	unknown
1439620637	91.000	discharging
1439620697	90.000	discharging
1439620738	89.000	discharging
1439620817	88.000	discharging
1439620858	87.000	discharging
1439620937	86.000	discharging
1439620978	85.000	discharging
1439620997	83.000	discharging
1439621058	82.000	discharging
1439621098	81.000	discharging
1439621178	80.000	discharging
1439621218	78.000	discharging
1439622791	0.000	unknown
1439622813	43.000	discharging
1439622873	42.000	discharging
1439622911	41.000	discharging
1439622993	39.000	discharging
1439623053	38.000	discharging
1439623113	37.000	discharging
1439623151	36.000	discharging
1439623234	34.000	discharging
1439623294	33.000	discharging
1439623354	32.000	discharging
